userId,작성일,평균기온(°C),옷 조합,온도
1,2024-04-24,13.2,"구두/로퍼, 반바지, 반팔 티, 셔츠/블라우스, 액세서리 없음, 재킷","[10, 15)"
1,2024-04-19,17.6,"기타 모자, 반바지, 반팔 티, 운동화, 재킷","[15, 20)"
1,2024-04-15,16.0,"구두/로퍼, 반바지, 반팔 티, 장목양말, 재킷","[15, 20)"
1,2024-04-09,15.3,"구두/로퍼, 나일론 팬츠, 반팔 티, 아우터 없음, 액세서리 없음","[15, 20)"
1,2024-04-05,14.0,"구두/로퍼, 면바지, 반팔 티, 액세서리 없음, 집업","[10, 15)"
1,2024-04-02,15.4,"구두/로퍼, 기타 모자, 긴팔 티, 데님팬츠, 집업","[15, 20)"
1,2024-03-26,7.4,"구두/로퍼, 기타 모자, 긴팔 티, 데님팬츠, 재킷","[5, 10)"
1,2024-03-22,10.4,"데님팬츠, 반팔 티, 액세서리 없음, 운동화, 재킷","[10, 15)"
1,2024-03-21,5.0,"기타 모자, 긴팔 티, 데님팬츠, 레더부츠, 재킷","[5, 10)"
1,2024-03-20,4.4,"기타 모자, 긴팔 티, 나일론 팬츠, 운동화, 재킷, 집업","[0, 5)"
1,2024-03-17,8.8,"기타 모자, 레더부츠, 반팔 티, 재킷, 트레이닝/조거 팬츠","[5, 10)"
1,2024-03-13,6.5,"기타 모자, 긴팔 티, 데님팬츠, 운동화, 재킷","[5, 10)"
1,2024-03-12,6.6,"기타 모자, 긴팔 티, 데님팬츠, 바람막이, 운동화","[5, 10)"
1,2024-03-11,6.2,"기타 모자, 운동화, 재킷, 트레이닝/조거 팬츠, 후드티","[5, 10)"
1,2024-03-07,3.9,"구두/로퍼, 면바지, 반팔 티, 액세서리 없음, 재킷","[0, 5)"
1,2024-03-04,5.4,"기타 모자, 긴팔 티, 데님팬츠, 스니커즈/캔버스, 점퍼","[5, 10)"
1,2024-02-29,4.8,"기타 모자, 니트, 데님팬츠, 반팔 티, 운동화, 재킷","[0, 5)"
1,2024-02-26,3.8,"구두/로퍼, 긴팔 티, 데님팬츠, 액세서리 없음, 재킷","[0, 5)"
1,2024-02-26,3.8,"기타 모자, 긴팔 티, 면바지, 스니커즈/캔버스, 점퍼","[0, 5)"
1,2024-02-22,0.2,"기타 모자, 긴팔 티, 운동화, 트레이닝/조거 팬츠, 패딩","[0, 5)"
1,2024-02-20,4.3,"긴팔 티, 데님팬츠, 레더부츠, 액세서리 없음, 재킷, 집업","[0, 5)"
1,2024-02-18,6.2,"구두/로퍼, 데님팬츠, 셔츠/블라우스, 양말, 재킷, 후드티","[5, 10)"
1,2024-02-16,2.3,"기타 모자, 데님팬츠, 운동화, 점퍼, 후드티","[0, 5)"
1,2024-02-13,8.2,"구두/로퍼, 니트, 면바지, 바람막이, 비니, 조끼","[5, 10)"
1,2024-02-08,0.6,"긴팔 티, 데님팬츠, 바람막이, 액세서리 없음, 운동화","[0, 5)"
1,2024-02-07,0.6,"기타 모자, 데님팬츠, 운동화, 패딩, 후드티","[0, 5)"
1,2024-02-06,1.2,"기타 모자, 맨투맨, 면바지, 스니커즈/캔버스, 점퍼","[0, 5)"
1,2024-01-24,-8.0,"기타 모자, 데님팬츠, 운동화, 패딩, 후드티","[-10, -5)"
1,2024-01-23,-11.7,"긴팔 티, 데님팬츠, 스니커즈/캔버스, 털 모자, 패딩",
1,2024-01-12,0.9,"스니커즈/캔버스, 액세서리 없음, 재킷, 카고바지, 후드티","[0, 5)"
1,2024-01-04,1.4,"구두/로퍼, 긴팔 티, 데님팬츠, 액세서리 없음, 코트","[0, 5)"
1,2024-01-03,1.8,"기타 모자, 데님팬츠, 반팔 티, 셔츠/블라우스, 운동화, 재킷","[0, 5)"
1,2024-01-02,2.9,"기타 모자, 데님팬츠, 레더부츠, 맨투맨, 점퍼","[0, 5)"
1,2023-12-31,2.1,"구두/로퍼, 니트, 데님팬츠, 반팔 티, 액세서리 없음, 점퍼","[0, 5)"
1,2023-12-13,6.8,"구두/로퍼, 기타 모자, 긴팔 티, 면바지, 재킷","[5, 10)"
1,2023-12-12,5.4,"가디건, 구두/로퍼, 니트, 면바지, 비니","[5, 10)"
1,2023-12-08,11.2,"긴팔 티, 액세서리 없음, 운동화, 재킷, 카고바지","[10, 15)"
1,2023-12-04,2.7,"긴팔 티, 데님팬츠, 스니커즈/캔버스, 재킷, 털 모자","[0, 5)"
1,2023-11-24,-1.5,"구두/로퍼, 긴팔 티, 데님팬츠, 액세서리 없음, 패딩","[-5, 0)"
1,2023-11-21,7.4,"구두/로퍼, 긴팔 티, 면바지, 액세서리 없음, 재킷","[5, 10)"
1,2023-11-14,5.0,"니트, 반팔 티, 비니, 운동화, 재킷, 카고바지","[5, 10)"
1,2023-10-30,15.1,"구두/로퍼, 기타 모자, 니트, 면바지, 반팔 티, 재킷","[15, 20)"
1,2023-10-30,15.1,"가디건, 긴팔 티, 면바지, 운동화, 장목양말","[15, 20)"
1,2023-10-20,11.6,"가디건, 구두/로퍼, 데님팬츠, 반팔 티, 셔츠/블라우스, 액세서리 없음","[10, 15)"
1,2023-10-05,14.2,"면바지, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[10, 15)"
1,2023-08-30,22.8,"반바지, 반팔 셔츠/블라우스, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[20, 25)"
1,2023-08-27,26.1,"데님팬츠, 반팔 티, 액세서리 없음, 운동화, 조끼","[25, 30)"
1,2023-08-14,28.1,"데님팬츠, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[25, 30)"
1,2023-08-08,30.9,"반바지, 반팔 티, 아우터 없음, 운동화, 장목양말","[30, 35)"
1,2023-08-03,29.5,"면바지, 반팔 셔츠/블라우스, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[25, 30)"
1,2023-07-26,27.6,"기타 모자, 반바지, 반팔 셔츠/블라우스, 반팔 티, 아우터 없음, 운동화, 장목양말","[25, 30)"
1,2023-07-23,25.2,"반바지, 반팔 셔츠/블라우스, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
1,2023-07-20,27.9,"구두/로퍼, 반바지, 반팔 티, 셔츠/블라우스, 아우터 없음, 장목양말","[25, 30)"
1,2023-07-12,25.8,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
1,2023-07-06,27.3,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
1,2023-07-05,24.5,"데님팬츠, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[20, 25)"
1,2023-06-21,20.5,"반바지, 반팔 티, 아우터 없음, 운동화, 장목양말","[20, 25)"
1,2023-06-13,22.0,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[20, 25)"
1,2023-06-05,21.5,"데님팬츠, 반팔 셔츠/블라우스, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[20, 25)"
1,2023-06-01,22.8,"데님팬츠, 반팔 티, 스니커즈/캔버스, 액세서리 없음, 조끼","[20, 25)"
1,2023-05-25,21.2,"데님팬츠, 반팔 티, 스니커즈/캔버스, 액세서리 없음, 조끼","[20, 25)"
1,2023-05-22,20.3,"면바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[20, 25)"
1,2023-05-21,17.8,"기타 모자, 긴팔 티, 반바지, 스니커즈/캔버스, 아우터 없음","[15, 20)"
1,2023-05-15,20.6,"반바지, 반팔 티, 샌들/슬리퍼, 액세서리 없음, 재킷","[20, 25)"
1,2023-05-11,19.5,"반바지, 반팔 티, 셔츠/블라우스, 아우터 없음, 액세서리 없음, 운동화","[15, 20)"
1,2023-05-10,18.4,"가디건, 기타 모자, 반바지, 반팔 티, 스니커즈/캔버스, 장목양말","[15, 20)"
1,2023-05-07,14.4,"구두/로퍼, 데님팬츠, 반팔 티, 액세서리 없음, 재킷","[10, 15)"
1,2023-05-04,21.4,"가디건, 반팔 티, 액세서리 없음, 운동화, 카고바지","[20, 25)"
1,2023-04-30,12.7,"면바지, 아우터 없음, 액세서리 없음, 운동화, 후드티","[10, 15)"
1,2023-04-27,12.9,"긴팔 티, 면바지, 액세서리 없음, 운동화, 재킷","[10, 15)"
1,2023-04-26,10.2,"구두/로퍼, 긴팔 티, 면바지, 액세서리 없음, 재킷","[10, 15)"
1,2023-04-25,10.9,"데님팬츠, 반팔 티, 셔츠/블라우스, 아우터 없음, 액세서리 없음, 운동화","[10, 15)"
1,2023-04-23,16.1,"맨투맨, 반바지, 샌들/슬리퍼, 아우터 없음, 액세서리 없음","[15, 20)"
1,2023-04-21,16.7,"긴팔 티, 데님팬츠, 스니커즈/캔버스, 액세서리 없음, 재킷","[15, 20)"
1,2023-04-20,15.8,"데님팬츠, 반팔 티, 셔츠/블라우스, 액세서리 없음, 운동화, 재킷","[15, 20)"
1,2023-04-19,19.1,"구두/로퍼, 니트, 면바지, 반팔 티, 아우터 없음, 액세서리 없음","[15, 20)"
1,2023-04-18,14.0,"긴팔 티, 데님팬츠, 액세서리 없음, 운동화, 재킷","[10, 15)"
1,2023-04-14,16.2,"긴팔 티, 데님팬츠, 스니커즈/캔버스, 액세서리 없음, 재킷","[15, 20)"
1,2023-04-13,11.9,"구두/로퍼, 데님팬츠, 반팔 티, 셔츠/블라우스, 액세서리 없음, 재킷","[10, 15)"
1,2023-04-12,10.1,"기타 모자, 긴팔 티, 데님팬츠, 운동화, 재킷","[10, 15)"
1,2023-04-11,13.1,"맨투맨, 면바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[10, 15)"
1,2023-04-10,13.2,"데님팬츠, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 액세서리 없음, 조끼","[10, 15)"
1,2023-04-06,8.8,"긴팔 티, 면바지, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[5, 10)"
1,2023-04-04,17.6,"데님팬츠, 액세서리 없음, 운동화, 재킷, 후드티","[15, 20)"
1,2023-04-03,19.0,"구두/로퍼, 데님팬츠, 반팔 티, 액세서리 없음, 재킷","[15, 20)"
1,2023-04-03,19.0,"데님팬츠, 반팔 티, 셔츠/블라우스, 아우터 없음, 액세서리 없음, 운동화","[15, 20)"
1,2023-03-31,15.0,"기타 모자, 데님팬츠, 민소매 티 , 민소매 티 , 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 재킷","[15, 20)"
1,2023-03-30,13.3,"데님팬츠, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[10, 15)"
1,2023-03-29,11.8,"데님팬츠, 반팔 티, 액세서리 없음, 운동화, 재킷","[10, 15)"
1,2023-03-28,9.2,"가디건, 반팔 티, 셔츠/블라우스, 액세서리 없음, 운동화, 트레이닝/조거 팬츠","[5, 10)"
1,2023-03-27,7.3,"구두/로퍼, 니트, 면바지, 반팔 티, 액세서리 없음, 재킷","[5, 10)"
1,2023-03-26,9.4,"니트, 데님팬츠, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[5, 10)"
1,2023-03-24,12.5,"가디건, 데님팬츠, 반팔 티, 액세서리 없음, 운동화","[10, 15)"
1,2023-03-22,17.0,"기타 모자, 데님팬츠, 바람막이, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스","[15, 20)"
1,2023-03-21,13.0,"데님팬츠, 레더부츠, 반팔 티, 셔츠/블라우스, 액세서리 없음, 재킷","[10, 15)"
1,2023-03-20,9.5,"면바지, 바람막이, 반팔 티, 스니커즈/캔버스, 액세서리 없음","[5, 10)"
1,2023-03-18,7.7,"데님팬츠, 반팔 티, 비니, 스니커즈/캔버스, 재킷","[5, 10)"
1,2023-03-17,7.2,"데님팬츠, 반팔 티, 스니커즈/캔버스, 액세서리 없음, 재킷, 코트","[5, 10)"
1,2023-03-14,9.2,"면바지, 반팔 티, 비니, 스니커즈/캔버스, 재킷","[5, 10)"
1,2023-03-13,2.9,"니트, 면바지, 반팔 티, 아우터 없음, 액세서리 없음, 운동화","[0, 5)"
1,2023-03-13,2.9,"데님팬츠, 맨투맨, 아우터 없음, 액세서리 없음, 운동화","[0, 5)"
1,2023-03-11,15.2,"구두/로퍼, 긴팔 티, 면바지, 장목양말, 재킷","[15, 20)"
1,2023-03-10,13.5,"긴팔 티, 데님팬츠, 스니커즈/캔버스, 액세서리 없음, 재킷","[10, 15)"
1,2023-03-08,12.5,"니트, 데님팬츠, 반팔 티, 스니커즈/캔버스, 액세서리 없음, 재킷","[10, 15)"
1,2023-03-07,11.7,"면바지, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 액세서리 없음, 코트","[10, 15)"
1,2023-03-06,9.2,"구두/로퍼, 면바지, 반팔 티, 셔츠/블라우스, 액세서리 없음, 재킷","[5, 10)"
1,2023-03-06,9.2,"니트, 데님팬츠, 반팔 티, 스니커즈/캔버스, 액세서리 없음, 재킷","[5, 10)"
2,2024-04-16,13.3,"구두/로퍼, 반바지, 반팔 셔츠/블라우스, 반팔 티, 아우터 없음, 장목양말, 후드티","[10, 15)"
2,2024-04-04,15.5,"데님팬츠, 레더부츠, 반팔 티, 액세서리 없음, 재킷","[15, 20)"
2,2024-03-18,7.1,"비니, 셔츠/블라우스, 운동화, 집업, 트레이닝/조거 팬츠","[5, 10)"
2,2024-03-07,3.9,"가죽 바지, 구두/로퍼, 긴팔 티, 액세서리 없음, 재킷","[0, 5)"
2,2023-11-02,20.8,"데님팬츠, 셔츠/블라우스, 스니커즈/캔버스, 아우터 없음, 액세서리 없음, 후드티","[20, 25)"
2,2023-10-29,14.9,"기타 모자, 긴팔 티, 데님팬츠, 스니커즈/캔버스, 점퍼","[10, 15)"
2,2023-10-27,15.7,"구두/로퍼, 반팔 티, 셔츠/블라우스, 슬랙스, 아우터 없음, 액세서리 없음","[15, 20)"
2,2023-10-20,11.6,"구두/로퍼, 니트, 데님팬츠, 반팔 티, 아우터 없음, 액세서리 없음","[10, 15)"
2,2023-10-18,15.7,"나일론 팬츠, 바람막이, 반팔 티, 비니, 운동화","[15, 20)"
2,2023-10-16,14.7,"데님팬츠, 바람막이, 반팔 티, 액세서리 없음, 운동화","[10, 15)"
2,2023-10-14,14.7,"가디건, 데님팬츠, 스니커즈/캔버스, 액세서리 없음, 후드티","[10, 15)"
2,2023-10-13,17.5,"긴팔 티, 데님팬츠, 레더부츠, 비니, 재킷","[15, 20)"
2,2023-10-10,17.1,"가디건, 구두/로퍼, 데님팬츠, 반팔 티, 액세서리 없음","[15, 20)"
2,2023-10-09,17.4,"맨투맨, 반팔 티, 비니, 스니커즈/캔버스, 아우터 없음, 트레이닝/조거 팬츠","[15, 20)"
2,2023-10-08,17.1,"긴팔 티, 데님팬츠, 맨투맨, 아우터 없음, 액세서리 없음, 운동화","[15, 20)"
2,2023-10-02,18.2,"니트, 데님팬츠, 레더부츠, 반팔 티, 아우터 없음, 액세서리 없음","[15, 20)"
2,2023-10-01,18.4,"반팔 티, 스니커즈/캔버스, 액세서리 없음, 집업, 트레이닝/조거 팬츠","[15, 20)"
2,2023-09-24,21.8,"구두/로퍼, 면바지, 반팔 티, 액세서리 없음, 재킷","[20, 25)"
2,2023-09-23,21.8,"민소매 티, 반바지, 아우터 없음, 운동화, 장목양말","[20, 25)"
2,2023-09-12,25.7,"반바지, 반팔 티, 스니커즈/캔버스, 장목양말, 재킷","[25, 30)"
2,2023-09-09,25.8,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-09-08,25.3,"구두/로퍼, 기타 모자, 나일론 팬츠, 민소매 티, 아우터 없음","[25, 30)"
2,2023-09-05,28.5,"기타 모자, 반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말, 후드티","[25, 30)"
2,2023-09-01,24.5,"기타 모자, 반팔 티, 아우터 없음, 운동화, 카고바지","[20, 25)"
2,2023-08-27,26.1,"구두/로퍼, 반바지, 반팔 셔츠/블라우스, 반팔 티, 아우터 없음, 장목양말","[25, 30)"
2,2023-08-25,26.5,"기타 모자, 민소매 티, 반바지, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-08-24,25.1,"구두/로퍼, 반바지, 반팔 티, 셔츠/블라우스, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-08-16,27.3,"민소매 티, 반바지, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-08-14,28.1,"기타 모자, 반바지, 반팔 셔츠/블라우스, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-08-13,27.0,"구두/로퍼, 반바지, 반팔 티, 액세서리 없음, 재킷","[25, 30)"
2,2023-08-07,30.4,"반바지, 반팔 티, 샌들/슬리퍼, 아우터 없음, 액세서리 없음","[30, 35)"
2,2023-08-06,29.8,"기타 모자, 레더부츠, 반바지, 반팔 티, 아우터 없음, 장목양말","[25, 30)"
2,2023-08-04,30.0,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[30, 35)"
2,2023-08-03,29.5,"구두/로퍼, 반바지, 반팔 티, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-08-03,29.5,"기타 모자, 반바지, 반팔 티, 아우터 없음, 운동화","[25, 30)"
2,2023-07-30,28.8,"반바지, 반팔 티, 샌들/슬리퍼, 아우터 없음, 장목양말","[25, 30)"
2,2023-07-30,28.8,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-07-29,29.1,"구두/로퍼, 반바지, 반팔 티, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-07-28,29.5,"반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음, 트레이닝/조거 팬츠","[25, 30)"
2,2023-07-28,29.5,"반팔 티, 아우터 없음, 액세서리 없음, 운동화, 트레이닝/조거 팬츠","[25, 30)"
2,2023-07-27,28.4,"기타 모자, 면바지, 반팔 티, 아우터 없음, 운동화","[25, 30)"
2,2023-07-26,27.6,"데님팬츠, 반팔 티, 샌들/슬리퍼, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-07-24,26.9,"기타 모자, 나일론 팬츠, 반팔 티, 아우터 없음, 운동화","[25, 30)"
2,2023-07-23,25.2,"반팔 티, 아우터 없음, 액세서리 없음, 운동화, 트레이닝/조거 팬츠","[25, 30)"
2,2023-07-22,27.7,"기타 모자, 반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-07-22,27.7,"기타 모자, 나일론 팬츠, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-07-22,27.7,"면바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-07-21,29.5,"기타 모자, 반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[25, 30)"
2,2023-07-14,24.6,"반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[20, 25)"
2,2023-07-09,24.7,"기타 모자, 반바지, 반팔 티, 스니커즈/캔버스, 아우터 없음, 장목양말","[20, 25)"
2,2023-07-02,26.7,"반팔 티, 스니커즈/캔버스, 아우터 없음, 액세서리 없음, 트레이닝/조거 팬츠","[25, 30)"
2,2023-07-02,26.7,"기타 모자, 데님팬츠, 반팔 티, 스니커즈/캔버스, 아우터 없음","[25, 30)"
2,2023-07-01,27.7,"구두/로퍼, 민소매 티, 반바지, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-06-29,24.2,"기타 모자, 나일론 팬츠, 반팔 티, 샌들/슬리퍼, 아우터 없음","[20, 25)"
2,2023-06-27,25.3,"구두/로퍼, 면바지, 반팔 니트, 아우터 없음, 액세서리 없음","[25, 30)"
2,2023-06-24,26.4,"기타 모자, 데님팬츠, 반팔 티, 아우터 없음, 운동화","[25, 30)"
2,2023-06-23,24.4,"데님팬츠, 반팔 티, 아우터 없음, 액세서리 없음, 운동화","[20, 25)"
2,2023-06-22,22.5,"데님팬츠, 반팔 니트, 샌들/슬리퍼, 아우터 없음, 액세서리 없음","[20, 25)"
2,2023-06-20,24.7,"기타 모자, 반바지, 반팔 티, 샌들/슬리퍼, 셔츠/블라우스, 아우터 없음","[20, 25)"
2,2023-06-17,24.2,"구두/로퍼, 기타 모자, 데님팬츠, 반팔 티, 아우터 없음","[20, 25)"
2,2023-06-17,24.2,"반바지, 반팔 셔츠/블라우스, 반팔 티, 샌들/슬리퍼, 아우터 없음, 장목양말","[20, 25)"
2,2023-06-06,20.3,"구두/로퍼, 면바지, 반팔 셔츠/블라우스, 아우터 없음, 액세서리 없음","[20, 25)"
2,2023-05-02,16.7,"구두/로퍼, 니트, 데님팬츠, 액세서리 없음, 재킷","[15, 20)"
2,2023-05-01,14.6,"데님팬츠, 레더부츠, 반팔 티, 액세서리 없음, 재킷","[10, 15)"
2,2023-04-30,12.7,"가디건, 데님팬츠, 레더부츠, 반팔 티, 비니","[10, 15)"
2,2023-04-25,10.9,"가디건, 구두/로퍼, 데님팬츠, 반팔 티, 액세서리 없음","[10, 15)"
2,2023-04-24,15.8,"가디건, 구두/로퍼, 데님팬츠, 반팔 티, 액세서리 없음, 재킷","[15, 20)"
2,2023-04-23,16.1,"가디건, 반팔 티, 비니, 스니커즈/캔버스, 카고바지","[15, 20)"
2,2023-04-22,16.9,"가디건, 나일론 팬츠, 반팔 티, 액세서리 없음, 운동화","[15, 20)"
2,2023-04-03,19.0,"데님팬츠, 반팔 티, 스니커즈/캔버스, 액세서리 없음, 집업","[15, 20)"
2,2023-03-26,9.4,"데님팬츠, 레더부츠, 반팔 티, 액세서리 없음, 재킷","[5, 10)"
2,2023-03-25,12.5,"나일론 팬츠, 바람막이, 반팔 티, 액세서리 없음, 운동화","[10, 15)"
2,2023-03-20,9.5,"구두/로퍼, 기타 모자, 데님팬츠, 반팔 티, 재킷","[5, 10)"
2,2023-03-19,8.3,"니트, 데님팬츠, 레더부츠, 바람막이, 반팔 티, 액세서리 없음","[5, 10)"
2,2023-03-13,2.9,"기타 모자, 데님팬츠, 반팔 티, 스니커즈/캔버스, 아우터 없음, 후드티","[0, 5)"
2,2023-03-10,13.5,"가디건, 데님팬츠, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 액세서리 없음","[10, 15)"
2,2023-03-01,6.0,"구두/로퍼, 데님팬츠, 반팔 티, 셔츠/블라우스, 아우터 없음, 액세서리 없음","[5, 10)"
2,2023-02-25,0.7,"가디건, 긴팔 티, 데님팬츠, 레더부츠, 액세서리 없음","[0, 5)"
2,2023-02-22,1.2,"데님팬츠, 반팔 티, 아우터 없음, 액세서리 없음, 운동화, 후드티","[0, 5)"
2,2023-02-21,-1.3,"구두/로퍼, 니트, 데님팬츠, 반팔 티, 액세서리 없음, 코트","[-5, 0)"
2,2023-02-20,-0.5,"긴팔 티, 나일론 팬츠, 바람막이, 비니, 운동화","[-5, 0)"
2,2023-02-15,3.2,"가디건, 구두/로퍼, 긴팔 티, 면바지, 액세서리 없음","[0, 5)"
2,2023-02-10,3.8,"데님팬츠, 머플러, 운동화, 코트, 후드티","[0, 5)"
2,2023-02-09,4.0,"긴팔 티, 데님팬츠, 액세서리 없음, 운동화, 재킷","[0, 5)"
2,2023-01-28,-6.0,"니트, 데님팬츠, 반팔 티, 셔츠/블라우스, 스니커즈/캔버스, 아우터 없음, 장목양말","[-10, -5)"
2,2023-01-05,-1.6,"가디건, 면바지, 반팔 티, 비니, 셔츠/블라우스, 스니커즈/캔버스","[-5, 0)"
2,2022-12-25,-5.4,"데님팬츠, 맨투맨, 반팔 티, 아우터 없음, 액세서리 없음, 운동화","[-10, -5)"
