지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),평균 풍속(m/s),평균 상대습도(%)
108,서울,2022-08-01,28.6,25.4,32.4,14.83,2.4,82.4
108,서울,2022-08-02,26.8,25.5,28.5,18.58,2.8,90
108,서울,2022-08-03,27.1,25.2,30,13.25,2.8,90.1
108,서울,2022-08-04,28.9,26,32.9,.42,2.5,79.3
108,서울,2022-08-05,29.4,27,32.7,.5,2.6,76.6
108,서울,2022-08-06,28.7,27.4,30.3,1.67,1.7,85.3
108,서울,2022-08-07,28.9,27.2,31.7,3.33,2.4,82.1
108,서울,2022-08-08,26.8,,28.4,20.92,3.3,91.6
108,서울,2022-08-09,25.1,22,26.5,21.5,2.6,96
108,서울,2022-08-10,24.7,21.4,28.8,6.5,1.6,85.3
108,서울,2022-08-11,25,23.4,27.5,10.67,1.6,87.9
108,서울,2022-08-12,27,23,32.4,,1.7,73.8
108,서울,2022-08-13,25.8,24.7,27.5,4.67,1.3,82.8
108,서울,2022-08-14,27.6,24.5,31.5,1.5,1.9,83
108,서울,2022-08-15,28.1,26.6,29.8,4.42,4.8,83
108,서울,2022-08-16,26.7,24.1,30,.75,2.6,75.4
108,서울,2022-08-17,26,22.8,30.5,.75,2,76.6
108,서울,2022-08-18,25.6,22.4,29.8,,1.9,75.8
108,서울,2022-08-19,26,23.3,27.5,10.33,2.3,86.1
108,서울,2022-08-20,28.2,25.7,32,1.83,2.4,80
108,서울,2022-08-21,28.1,24.7,32,,1.7,75.3
108,서울,2022-08-22,26.8,22.9,30.2,2,2.3,75.6
108,서울,2022-08-23,25.4,22.4,30.2,6.17,2,75
108,서울,2022-08-24,24.8,22.4,27.9,,2.5,66.9
108,서울,2022-08-25,22.2,21.1,24,7.08,1.8,78
108,서울,2022-08-26,23.8,19.9,28.4,,2.4,75.3
108,서울,2022-08-27,21.5,17.6,25.5,.58,2.8,63.1
108,서울,2022-08-28,22.6,16.1,28.4,,1.7,59.4
108,서울,2022-08-29,21,19.5,22.5,11.58,2.3,74
108,서울,2022-08-30,19.1,17.9,20.3,21.42,2.6,96.3
108,서울,2022-08-31,21.7,19.6,24.9,4.17,1.8,83.3
108,서울,2022-09-01,24,18.3,30.4,,1.7,70.8
108,서울,2022-09-02,24.7,20.3,29.8,,3.1,61.8
108,서울,2022-09-03,24.2,20.5,29.2,,3.4,63
108,서울,2022-09-04,22.3,19.8,24,13.67,3.1,88.6
108,서울,2022-09-05,19.2,17.7,22.7,24,3.2,95.9
108,서울,2022-09-06,21,17,26.3,8.92,3.6,78
108,서울,2022-09-07,22.8,17.9,28.1,,1.9,65.3
108,서울,2022-09-08,23.2,16.7,29.5,,1.6,65.5
108,서울,2022-09-09,24.3,18.9,30.8,,2,59.1
108,서울,2022-09-10,23.6,19,28.4,,2.6,52.3
108,서울,2022-09-11,23.3,20.6,26.4,1.83,2.1,68.6
108,서울,2022-09-12,23.8,20.3,27.5,,1.6,76.1
108,서울,2022-09-13,24.3,21.8,26.4,4.83,2.5,73
108,서울,2022-09-14,24.6,22.7,27.9,1.17,4.6,56.9
108,서울,2022-09-15,25.2,22,28.3,.42,3.6,66.9
108,서울,2022-09-16,25.7,23.4,29.9,5.5,2.9,78.6
108,서울,2022-09-17,25.6,23.3,29.4,1.92,1.4,83.1
108,서울,2022-09-18,27.1,23,32.5,,2,75.3
108,서울,2022-09-19,24.6,19.5,29.6,,3.3,63.1
108,서울,2022-09-20,19.9,16.1,24.6,,2.3,57
108,서울,2022-09-21,19.4,13,25.6,,1.8,56.9
108,서울,2022-09-22,19.8,14.2,24.7,,2,60.1
108,서울,2022-09-23,17.5,14.7,22.2,.67,3.1,68.9
108,서울,2022-09-24,18.5,12.3,24.2,,1.8,64.6
108,서울,2022-09-25,19.6,15.4,25.2,,1.6,63.3
108,서울,2022-09-26,20,14.8,25.4,,1.7,58.5
108,서울,2022-09-27,20.9,14,28,,1.6,59
108,서울,2022-09-28,20.4,16.1,26.1,,1.8,71
108,서울,2022-09-29,20.4,16.4,26.5,,1.4,73.5
108,서울,2022-09-30,20.7,14.8,27.7,,1.6,68
108,서울,2022-10-01,20.9,14.4,27.6,,1.6,63.3
108,서울,2022-10-02,19.4,17.2,21.6,15.08,2.7,78.9
108,서울,2022-10-03,21.4,17.5,23.4,22.58,2.7,98.5
108,서울,2022-10-04,17.9,14.2,23,7.08,2.9,83.8
108,서울,2022-10-05,16.6,14.1,21.6,3.58,2.1,74.8
108,서울,2022-10-06,15.8,12.7,19.1,2.25,2.1,76.6
108,서울,2022-10-07,14.3,11,18.6,,2.5,69.5
108,서울,2022-10-08,15.8,11.1,21.6,,2.5,64.6
108,서울,2022-10-09,13.1,10.7,14.5,13.67,2.1,85.8
108,서울,2022-10-10,9.9,8.2,11.9,4.58,3.8,72.9
108,서울,2022-10-11,11.1,7.4,16.4,,2.2,69.1
108,서울,2022-10-12,13.5,6.5,20.6,,1.8,68.1
108,서울,2022-10-13,16.3,10.7,22.7,,1.5,69.6
108,서울,2022-10-14,17.1,12.4,23,,1.6,73.4
108,서울,2022-10-15,18.2,12.6,24.4,,1.4,68.5
108,서울,2022-10-16,16.9,15.1,20.5,,1.7,73.9
108,서울,2022-10-17,11.2,7.4,15.1,,3.4,50.3
108,서울,2022-10-18,9.4,5,14.2,,2.3,52.1
108,서울,2022-10-19,10.5,4.4,16.8,,1.8,57.8
108,서울,2022-10-20,12.9,6,19.7,,1.8,64.4
108,서울,2022-10-21,14,8.8,20.9,,1.7,68.8
108,서울,2022-10-22,15.1,10.5,20.8,,1.9,76.3
108,서울,2022-10-23,14,10.4,18.6,,2.7,65
108,서울,2022-10-24,10.6,7.5,14.8,,2.8,52.6
108,서울,2022-10-25,11.3,5.9,17.6,,2,56.5
108,서울,2022-10-26,12.9,8,17.8,,1.9,58.3
108,서울,2022-10-27,13.2,8.6,18.9,,1.7,71.8
108,서울,2022-10-28,13.6,8.2,20.6,,1.7,70.1
108,서울,2022-10-29,14.8,10.2,21.3,,1.8,65.9
108,서울,2022-10-30,14.9,10.4,21.3,,1.9,64.5
108,서울,2022-10-31,14.9,11.2,21.1,,2.1,69.8
108,서울,2022-11-01,13.1,9.4,17.8,,1.8,73.5
108,서울,2022-11-02,11.1,5.5,17.9,,1.7,57.1
108,서울,2022-11-03,9.3,5.6,13.4,1.75,2,58.1
108,서울,2022-11-04,4.9,1.6,9.8,,2.9,41.8
108,서울,2022-11-05,6.5,.8,13.6,,1.7,51.3
108,서울,2022-11-06,9.6,3.7,16.4,,1.8,60.5
108,서울,2022-11-07,11.4,6.1,16.6,.17,1.7,64.5
108,서울,2022-11-08,12.9,9.7,17.9,,1.5,68.3
108,서울,2022-11-09,11.4,6.7,16,,1.5,76
108,서울,2022-11-10,13.5,8.8,19.1,,1.3,74.5
108,서울,2022-11-11,15.6,10.9,22.1,,1.8,62.5
108,서울,2022-11-12,16.3,11.6,22,7.5,2.2,80
108,서울,2022-11-13,10.3,8.7,17.3,,2.6,85.6
108,서울,2022-11-14,9.7,5.9,13.8,,2.3,74.8
108,서울,2022-11-15,8.1,4,12.3,2.25,2,77.4
108,서울,2022-11-16,8.5,5.5,13,,1.7,71.3
108,서울,2022-11-17,10.2,5.4,16.6,,1.6,64.6
108,서울,2022-11-18,11,5.3,18.1,,1.6,69.6
108,서울,2022-11-19,12.9,8.7,19.2,,2.3,55.8
108,서울,2022-11-20,13.7,9.5,20.2,,1.7,58.3
108,서울,2022-11-21,11.8,9.3,16.2,,1.6,70.5
108,서울,2022-11-22,10.7,7,13.7,2.17,1.9,69.9
108,서울,2022-11-23,10.8,6.8,15.2,1.5,2.1,56
108,서울,2022-11-24,9.4,5.9,14.1,,1.5,65.6
108,서울,2022-11-25,12.3,7.1,17.8,1.32,3,67.1
108,서울,2022-11-26,6.7,1,12.9,,3,52.4
108,서울,2022-11-27,5.4,-1.1,11.5,,2.4,43.1
108,서울,2022-11-28,12.3,7.5,15,11.58,2.7,65.5
108,서울,2022-11-29,6.9,-1.6,15,7.58,3.5,67
108,서울,2022-11-30,-5.4,-8.1,-1.6,,3.9,49.1
108,서울,2022-12-01,-5.4,-9.4,-1.2,,2.4,43.4
108,서울,2022-12-02,-2.5,-7.6,3,,1.7,42
108,서울,2022-12-03,2.1,-.3,7,7.33,2.6,70.5
108,서울,2022-12-04,-3.5,-5.2,-.2,,2.8,38.9
108,서울,2022-12-05,-3.1,-7,1.9,,2.4,41.9
108,서울,2022-12-06,.9,-3.9,5.3,4.75,2.4,62.8
108,서울,2022-12-07,4.9,1.2,9,3.33,2.7,60.4
108,서울,2022-12-08,3.7,.1,9.1,,1.4,57.5
108,서울,2022-12-09,4.5,.9,10.2,.58,2,60.8
108,서울,2022-12-10,2.6,-.6,6.7,,1.3,46.5
108,서울,2022-12-11,1.6,-1.5,6.8,,1.8,52.5
108,서울,2022-12-12,2,-2,6.3,5.08,1.7,73.4
108,서울,2022-12-13,0,-6.4,3.1,6.17,3.5,70.8
108,서울,2022-12-14,-8.4,-11,-4.9,,3.2,50.1
108,서울,2022-12-15,-4.5,-8.5,-1.3,6.67,2.5,79.1
108,서울,2022-12-16,-6.3,-9.6,-2.2,,2,56.9
108,서울,2022-12-17,-7,-9.8,-3.2,2.33,2.7,52
108,서울,2022-12-18,-9.5,-12.4,-5.6,,2.6,47.1
108,서울,2022-12-19,-7,-12,-2.5,,1.7,55.6
108,서울,2022-12-20,-3.2,-9.5,2.9,,2.2,55.8
108,서울,2022-12-21,-.1,-2.6,2.6,9.17,2.7,82.4
108,서울,2022-12-22,-7.8,-11.3,-2.6,,4.4,60.5
108,서울,2022-12-23,-11.8,-13.7,-8.6,,4.3,60.5
108,서울,2022-12-24,-8.4,-13.5,-2,,1.8,54.9
108,서울,2022-12-25,-5.4,-9.6,.2,,1.7,66.5
108,서울,2022-12-26,-3.9,-7.9,1.7,,1.4,68.4
108,서울,2022-12-27,-2.6,-7.3,3.3,,1.8,69.8
108,서울,2022-12-28,-3.3,-6,.1,3,2.5,58.1
108,서울,2022-12-29,-2.9,-7.8,2.1,4.33,1.7,56.3
108,서울,2022-12-30,-1.8,-4.4,2.3,2.58,1.9,65.6
108,서울,2022-12-31,-1.2,-5.1,2.1,1.42,1.4,65.5
108,서울,2023-01-01,-.2,-4.3,3.8,,2.7,54.5
108,서울,2023-01-02,-4.5,-7.4,-.4,,2.5,45.9
108,서울,2023-01-03,-5,-9,.6,,1.8,49
108,서울,2023-01-04,-1.8,-5.7,3.3,,1.9,51.4
108,서울,2023-01-05,-1.6,-5.6,3.6,,1.6,58.1
108,서울,2023-01-06,.6,-4.7,5.7,4.78,2.2,71.9
108,서울,2023-01-07,1.5,-1.4,3.8,1.42,2.2,80.9
108,서울,2023-01-08,1.3,-3.7,6.3,,1.7,69.3
108,서울,2023-01-09,3.1,-1.3,7,,2.3,60.1
108,서울,2023-01-10,1.6,-3.9,9.1,,1.5,59.9
108,서울,2023-01-11,2.6,-2,9.2,,1.6,61.9
108,서울,2023-01-12,5.9,-.6,12.5,.92,2.2,46.6
108,서울,2023-01-13,8.3,5.1,10.1,23.08,2.5,99.1
108,서울,2023-01-14,6.6,3.8,8.4,16.33,2.5,92.9
108,서울,2023-01-15,-.2,-3.5,3.8,23.17,2.8,93.9
108,서울,2023-01-16,-4.6,-6.8,-1.2,8.5,2.7,63.1
108,서울,2023-01-17,-3.7,-7,-.4,2.92,1.8,65.1
108,서울,2023-01-18,-1.9,-4.6,2.2,1.5,2,60.5
108,서울,2023-01-19,-.4,-6,4.3,4,2.5,69.3
108,서울,2023-01-20,-3.3,-7.7,2,,3.7,52.4
108,서울,2023-01-21,-4.5,-10.5,1.5,,1.8,55.4
108,서울,2023-01-22,-.6,-2.8,2.6,2,2.6,62.8
108,서울,2023-01-23,-.8,-6.9,4.6,,2.7,66.6
108,서울,2023-01-24,-14.7,-17,-6.9,.92,4.6,51.9
108,서울,2023-01-25,-11.3,-17.3,-5.4,.17,2.1,45.1
108,서울,2023-01-26,-6,-9,-3.5,14.92,2.5,80.1
108,서울,2023-01-27,-7.3,-9.6,-3.8,,3.5,56.5
108,서울,2023-01-28,-6,-11.2,-.6,.17,2.4,54.9
108,서울,2023-01-29,-1.8,-8,4.9,,2.6,58.3
108,서울,2023-01-30,-.9,-4.4,4.2,,2.1,55.9
108,서울,2023-01-31,2.4,-3.5,7.8,,2.7,69.1
108,서울,2023-02-01,.9,-3,6,,3.2,68.4
108,서울,2023-02-02,-2.4,-5.1,1.4,,2.5,50.3
108,서울,2023-02-03,-1.6,-3.9,3.4,,2.2,47.4
108,서울,2023-02-04,-.2,-5.2,6,,2,49.8
108,서울,2023-02-05,1.7,-3.3,7.1,,1.8,71
108,서울,2023-02-06,3,-1.7,8.8,,1.6,72.3
108,서울,2023-02-07,3.5,-.6,9.5,,1.5,72.9
108,서울,2023-02-08,2.1,-1.3,7.8,,2.5,62.1
108,서울,2023-02-09,4,-2.8,9.9,.67,2.5,49.9
108,서울,2023-02-10,3.8,1.1,6.2,9.92,2.2,79.6
108,서울,2023-02-11,2.8,-1.2,8.5,,1.8,73
108,서울,2023-02-12,3.7,-.9,7.6,,1.8,70
108,서울,2023-02-13,5.9,2.7,8.4,,2.3,66.5
108,서울,2023-02-14,1.7,-2.5,6.6,,2.7,54.9
108,서울,2023-02-15,3.2,-1.2,8.9,,2.5,46.4
108,서울,2023-02-16,2.3,-.7,4.5,,2.7,68.3
108,서울,2023-02-17,3.4,-1.5,9.8,,1.8,67.8
108,서울,2023-02-18,5.7,3,8.1,,1.5,58.3
108,서울,2023-02-19,3.5,.2,6.1,2.92,3.3,56.1
108,서울,2023-02-20,-.5,-3.5,2.4,,3.3,46.4
108,서울,2023-02-21,-1.3,-5.3,4.8,,2.1,42.4
108,서울,2023-02-22,1.2,-4.5,8.4,,2.2,50.6
108,서울,2023-02-23,2.9,-1.8,9.2,,1.9,65.5
108,서울,2023-02-24,3.5,-.4,8.5,,3,57.9
108,서울,2023-02-25,.7,-2.9,5.7,,2.9,44
108,서울,2023-02-26,2.2,-3.4,9.4,,2.1,46.6
108,서울,2023-02-27,4.4,-1.8,12.4,,1.9,47.4
108,서울,2023-02-28,4.3,-.7,8.7,,2,63.4
108,서울,2023-03-01,6,2.9,9,,3.1,54.4
108,서울,2023-03-02,2.2,-1.8,6.6,,2.8,37.8
108,서울,2023-03-03,4.6,-1.9,10.4,,2.1,65
108,서울,2023-03-04,7.7,3.7,14.1,,1.9,68.4
108,서울,2023-03-05,8,2.5,15.4,,1.7,54
108,서울,2023-03-06,9.2,2.2,16.5,,2.1,41.9
108,서울,2023-03-07,11.7,6.3,19.4,,2.3,60.9
108,서울,2023-03-08,12.5,7.4,17.7,1.08,2,66.3
108,서울,2023-03-09,10.3,7.4,13.1,4.83,2.3,85.9
108,서울,2023-03-10,13.5,6.2,22.2,,2.1,62.1
108,서울,2023-03-11,15.2,10.2,22.8,,2.4,52
108,서울,2023-03-12,5.9,.6,12.6,6.33,3.7,68
108,서울,2023-03-13,2.9,-1.9,7.6,,3.2,38.9
108,서울,2023-03-14,9.2,3.3,15.4,,2.9,45.9
108,서울,2023-03-15,8.6,3.5,14.4,,3,66.6
108,서울,2023-03-16,4.6,.4,9,,2.4,36.8
108,서울,2023-03-17,7.2,.7,12.7,,1.7,34.3
108,서울,2023-03-18,7.7,2.5,14,,2.6,46.4
108,서울,2023-03-19,8.3,2.3,15.2,,2.1,59.6
108,서울,2023-03-20,9.5,2.6,17.1,,1.6,50.4
108,서울,2023-03-21,13,5,22.2,,1.7,35.1
108,서울,2023-03-22,17,9.2,25.1,,1.8,44.8
108,서울,2023-03-23,17.4,12.3,23.3,2.92,2.5,48.9
108,서울,2023-03-24,12.5,7.6,18.3,,2.3,36.8
108,서울,2023-03-25,12.5,8,18.7,,2.3,59.9
108,서울,2023-03-26,9.4,4.7,14,,3.6,34
108,서울,2023-03-27,7.3,1.9,14.5,,2.3,44.8
108,서울,2023-03-28,9.2,2.8,15.7,,2.1,53.3
108,서울,2023-03-29,11.8,5.1,19.7,,1.9,50.3
108,서울,2023-03-30,13.3,6.4,21.2,,2.2,42.5
108,서울,2023-03-31,15,7.5,23.9,,2.1,42.5
108,서울,2023-04-01,17.5,9.4,25.6,,1.8,40.4
108,서울,2023-04-02,18.8,11.9,25.2,,2.4,29.6
108,서울,2023-04-03,19,11.3,25.9,,2.3,29.4
108,서울,2023-04-04,17.6,12.7,21.7,5.08,2.6,40.4
108,서울,2023-04-05,11.9,8.7,14.9,22.5,3.4,97.8
108,서울,2023-04-06,8.8,7.4,9.7,19.17,2.5,94.6
108,서울,2023-04-07,8.9,4.6,15.7,,2.9,65
108,서울,2023-04-08,8.8,3.1,14.9,,3.2,51.1
108,서울,2023-04-09,10.8,3.5,17.8,,2.5,56.8
108,서울,2023-04-10,13.2,6.2,19.1,,2.7,50.8
108,서울,2023-04-11,13.1,9.2,17.4,6.92,3.6,73.4
108,서울,2023-04-12,10.1,4.8,15.3,,2.7,45.1
108,서울,2023-04-13,11.9,5.1,17.2,.25,1.8,45
108,서울,2023-04-14,16.2,11.9,21.3,,1.6,58.6
108,서울,2023-04-15,13.5,9.3,16.6,3,2.2,81.8
108,서울,2023-04-16,10.8,7.5,16.1,.48,2.5,71.4
108,서울,2023-04-17,13.1,6.8,18.1,,2,59
108,서울,2023-04-18,14,10.7,18.4,8.42,2.7,78.6
108,서울,2023-04-19,19.1,11.5,28.4,,2.4,66.1
108,서울,2023-04-20,15.8,14.5,18.9,9.17,2.4,92.1
108,서울,2023-04-21,16.7,11.4,22.8,,2.5,50.4
108,서울,2023-04-22,16.9,12.2,22.5,,2.6,22.9
108,서울,2023-04-23,16.1,10.7,22.1,,2.1,34.1
108,서울,2023-04-24,15.8,11.5,21.3,,2.7,40.5
108,서울,2023-04-25,10.9,9,13.2,13.25,1.9,68.6
108,서울,2023-04-26,10.2,7.4,13.5,.58,3.1,69.9
108,서울,2023-04-27,12.9,5.1,20,,1.9,61.6
108,서울,2023-04-28,15.7,9,21.3,2.83,2.1,62
108,서울,2023-04-29,13.2,9.9,15.8,13.83,2.9,88.1
108,서울,2023-04-30,12.7,7.9,17.9,2.92,3.3,72.9
108,서울,2023-05-01,14.6,9.8,20.8,,2.5,57
108,서울,2023-05-02,16.7,9.1,23.7,,2.1,40.5
108,서울,2023-05-03,19.5,12.4,26.2,,2.1,52.5
108,서울,2023-05-04,21.4,15.6,25.8,,2.1,65.5
108,서울,2023-05-05,18.4,15.5,21.6,22.67,2.5,95.3
108,서울,2023-05-06,12.6,11.7,15.5,16.42,5.4,85.6
108,서울,2023-05-07,14.4,11.1,18.6,,2.6,47.1
108,서울,2023-05-08,15.3,7.9,22,,2.2,55.3
108,서울,2023-05-09,17,10,24.4,,2.3,55.4
108,서울,2023-05-10,18.4,10.7,26,,1.8,53.3
108,서울,2023-05-11,19.5,12.8,26.7,,2.3,50.1
108,서울,2023-05-12,18.4,13.1,24.7,,1.8,50.9
108,서울,2023-05-13,17.8,12.6,23.9,.17,2,62
108,서울,2023-05-14,18.1,12.9,23.8,,2,56.5
108,서울,2023-05-15,20.6,12.8,27.9,,2.4,54.6
108,서울,2023-05-16,24,17.2,31.2,,2.5,51.9
108,서울,2023-05-17,23.5,18.6,28.7,,3.4,63.6
108,서울,2023-05-18,21.2,18.8,27.6,.83,2.1,74.8
108,서울,2023-05-19,22.3,16.7,27.8,,2.3,61.4
108,서울,2023-05-20,21.2,16.6,26.7,,3,66.9
108,서울,2023-05-21,17.8,15.3,21.9,5.58,3,74
108,서울,2023-05-22,20.3,15.9,26.8,.33,1.9,61.3
108,서울,2023-05-23,20.5,14.1,26.9,,2.2,48
108,서울,2023-05-24,20.6,14.8,25.9,,2,49.8
108,서울,2023-05-25,21.2,15.7,27.4,.17,2.4,46.6
108,서울,2023-05-26,21.4,15.8,27.3,2,2.1,57.4
108,서울,2023-05-27,19.3,18.6,20.7,15.5,1.7,87.4
108,서울,2023-05-28,19.2,18.4,20.2,24,1.8,98.9
108,서울,2023-05-29,23.2,19,28.5,7.5,1.6,83.4
108,서울,2023-05-30,24,20.5,28.9,,2.2,69.5
108,서울,2023-05-31,22.8,18.8,28.2,,2.5,60.8
108,서울,2023-06-01,22.8,19.7,26.3,,1.9,66.9
108,서울,2023-06-02,20.4,17.9,25,.17,2.3,77.4
108,서울,2023-06-03,22,16.6,27.8,,2.7,60.1
108,서울,2023-06-04,22.1,16.9,28,,2.4,61
108,서울,2023-06-05,21.5,17.6,26.3,,2.6,66.9
108,서울,2023-06-06,20.3,17.3,25.2,.92,2.6,72.9
108,서울,2023-06-07,21.4,18.9,25.7,1.17,2.1,75.3
108,서울,2023-06-08,20.4,18.3,23.9,5.33,2.4,80.5
108,서울,2023-06-09,23.3,18.3,28.4,3.42,2,64
108,서울,2023-06-10,23.2,19.6,28.5,1.83,2.3,70
108,서울,2023-06-11,22.1,17.9,27.3,5.42,2.2,76.1
108,서울,2023-06-12,22.2,18.4,27.5,1.92,1.7,70.5
108,서울,2023-06-13,22,19.2,26,.5,2.2,70
108,서울,2023-06-14,20.6,17.5,25,2.25,1.5,80.3
108,서울,2023-06-15,22.7,17.7,28.3,,2.1,70.8
